year,department,value,activity
2013,Boyacá,344.68,Información y comunicaciones
2013,Caldas,361.68,Información y comunicaciones
2013,Caquetá,59.84,Información y comunicaciones
2005,Amazonas,114.17,"Agricultura, ganadería, caza, silvicultura y pesca"
2013,Casanare,72.86,Información y comunicaciones
2013,Cauca,154.97,Información y comunicaciones
2005,Antioquia,4856.14,"Agricultura, ganadería, caza, silvicultura y pesca"
2013,Cesar,217.13,Información y comunicaciones
2013,Chocó,36.72,Información y comunicaciones
2005,Arauca,469.03,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Atlántico,280.73,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Bogotá D.C.,11.01,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Bolívar,883.15,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Boyacá,1815.31,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Caldas,957.79,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Caquetá,397.46,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Casanare,484.76,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Cauca,1412.28,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Cesar,1231.86,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Chocó,551.34,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Córdoba,1281.65,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Cundinamarca,5589.25,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Guainía,18.21,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Guaviare,155.02,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Huila,1611.27,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,La Guajira,425.99,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Magdalena,1445.19,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Meta,1058.31,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Nariño,1481.29,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Norte de Santander,1150.89,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Putumayo,193.27,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Quindío,718.47,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Risaralda,677.06,"Agricultura, ganadería, caza, silvicultura y pesca"
2013,Córdoba,386.01,Información y comunicaciones
2005,"San Andrés, Providencia y Santa Catalina (Archipiélago)",12.27,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Santander,3021.58,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Sucre,456.69,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Tolima,2299.26,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Valle del Cauca,3439.32,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Vaupés,7.0,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Vichada,156.16,"Agricultura, ganadería, caza, silvicultura y pesca"
2005,Amazonas,1.0,Explotación de minas y canteras
2005,Antioquia,2628.17,Explotación de minas y canteras
2005,Arauca,3239.8,Explotación de minas y canteras
2005,Atlántico,35.79,Explotación de minas y canteras
2005,Bogotá D.C.,235.69,Explotación de minas y canteras
2005,Bolívar,562.7,Explotación de minas y canteras
2005,Boyacá,445.2,Explotación de minas y canteras
2005,Caldas,206.04,Explotación de minas y canteras
2005,Caquetá,1.65,Explotación de minas y canteras
2005,Casanare,5825.26,Explotación de minas y canteras
2005,Cauca,103.13,Explotación de minas y canteras
2005,Cesar,2859.02,Explotación de minas y canteras
2005,Chocó,489.34,Explotación de minas y canteras
2005,Córdoba,248.74,Explotación de minas y canteras
2005,Cundinamarca,370.01,Explotación de minas y canteras
2005,Guainía,27.82,Explotación de minas y canteras
2005,Guaviare,2.91,Explotación de minas y canteras
2005,Huila,1543.64,Explotación de minas y canteras
2005,La Guajira,2912.68,Explotación de minas y canteras
2005,Magdalena,14.51,Explotación de minas y canteras
2005,Meta,2494.11,Explotación de minas y canteras
2005,Nariño,68.39,Explotación de minas y canteras
2005,Norte de Santander,259.88,Explotación de minas y canteras
2005,Putumayo,331.07,Explotación de minas y canteras
2005,Quindío,11.31,Explotación de minas y canteras
2005,Risaralda,47.47,Explotación de minas y canteras
2005,"San Andrés, Providencia y Santa Catalina (Archipiélago)",0.98,Explotación de minas y canteras
2005,Santander,681.85,Explotación de minas y canteras
2005,Sucre,10.61,Explotación de minas y canteras
2005,Tolima,1193.39,Explotación de minas y canteras
2005,Valle del Cauca,137.48,Explotación de minas y canteras
2005,Vaupés,0.94,Explotación de minas y canteras
2005,Vichada,1.0,Explotación de minas y canteras
2005,Amazonas,8.82,Industrias manufactureras
2005,Antioquia,15897.91,Industrias manufactureras
2005,Arauca,117.48,Industrias manufactureras
2005,Atlántico,4588.05,Industrias manufactureras
2005,Bogotá D.C.,18034.87,Industrias manufactureras
2005,Bolívar,4141.56,Industrias manufactureras
2005,Boyacá,2045.73,Industrias manufactureras
2005,Caldas,1599.57,Industrias manufactureras
2005,Caquetá,89.31,Industrias manufactureras
2005,Casanare,247.2,Industrias manufactureras
2005,Cauca,1593.18,Industrias manufactureras
2005,Cesar,396.21,Industrias manufactureras
2005,Chocó,22.84,Industrias manufactureras
2005,Córdoba,1356.76,Industrias manufactureras
2005,Cundinamarca,6868.09,Industrias manufactureras
2005,Guainía,7.24,Industrias manufactureras
2005,Guaviare,8.97,Industrias manufactureras
2005,Huila,402.71,Industrias manufactureras
2005,La Guajira,36.08,Industrias manufactureras
2005,Magdalena,346.85,Industrias manufactureras
2005,Meta,591.41,Industrias manufactureras
2005,Nariño,296.9,Industrias manufactureras
2005,Norte de Santander,624.67,Industrias manufactureras
2005,Putumayo,36.25,Industrias manufactureras
2005,Quindío,268.39,Industrias manufactureras
2005,Risaralda,1286.41,Industrias manufactureras
2005,"San Andrés, Providencia y Santa Catalina (Archipiélago)",11.78,Industrias manufactureras
2005,Santander,8112.34,Industrias manufactureras
2005,Sucre,475.13,Industrias manufactureras
2005,Tolima,1413.42,Industrias manufactureras
2005,Valle del Cauca,9262.77,Industrias manufactureras
2005,Vaupés,0.38,Industrias manufactureras
2005,Vichada,18.18,Industrias manufactureras
2005,Amazonas,17.59,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Antioquia,4025.22,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Arauca,24.83,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Atlántico,1715.16,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Bogotá D.C.,3233.94,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Bolívar,626.2,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Boyacá,1025.31,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Caldas,566.97,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Caquetá,14.78,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Casanare,90.37,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Cauca,292.45,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Cesar,202.12,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Chocó,24.74,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Córdoba,444.35,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Cundinamarca,1995.47,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Guainía,0.65,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Guaviare,4.54,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Huila,463.45,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,La Guajira,239.89,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Magdalena,143.9,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Meta,160.26,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Nariño,164.07,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Norte de Santander,204.64,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Putumayo,7.9,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Quindío,108.84,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Risaralda,224.21,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
